30	YJM978m	(2)	8	:	0.978	0.004	0.005	0.004	0.005	0.004	
31	YJM981m	(2)	8	:	0.978	0.004	0.004	0.004	0.004	0.005	
5	DBVPG1106m	(0)	8	:	0.977	0.004	0.004	0.005	0.005	0.005	
76	ZP577s1	(2)	8	:	0.977	0.005	0.005	0.004	0.004	0.005	
7	DBVPG1788m	(2)	8	:	0.976	0.004	0.005	0.004	0.006	0.005	
12	L1374m	(0)	8	:	0.976	0.004	0.004	0.005	0.004	0.006	
16	RM11	(1)	8	:	0.976	0.006	0.006	0.004	0.005	0.004	
29	YJM975m	(1)	8	:	0.976	0.005	0.004	0.004	0.005	0.006	
37	ARN019As1	(7)	8	:	0.976	0.005	0.005	0.004	0.005	0.005	
39	ARN022As1	(7)	8	:	0.976	0.005	0.004	0.005	0.004	0.004	
13	L1528m	(2)	8	:	0.975	0.005	0.005	0.005	0.005	0.006	
36	AN3e1s1	(2)	8	:	0.973	0.005	0.006	0.005	0.006	0.006	
77	ZP578s1	(1)	8	:	0.972	0.004	0.004	0.005	0.004	0.010	
38	ARN020As1	(7)	8	:	0.970	0.007	0.007	0.005	0.006	0.005	
10	DBVPG6765m	(1)	8	:	0.965	0.004	0.006	0.004	0.005	0.017	
6	DBVPG1373m	(0)	8	:	0.928	0.004	0.024	0.035	0.004	0.005	
78	ZP579s1	(0)	8	:	0.926	0.006	0.004	0.005	0.005	0.055	
4	BC187m	(1)	8	:	0.921	0.006	0.006	0.057	0.004	0.006	
75	ZP568s1	(1)	8	:	0.866	0.005	0.074	0.005	0.005	0.045	
71	ZP560s1	(2)	8	:	0.860	0.002	0.073	0.005	0.005	0.054	
72	ZP561s1	(2)	8	:	0.856	0.006	0.072	0.005	0.010	0.052	
80	ZP636s1	(1)	8	:	0.855	0.004	0.078	0.004	0.004	0.054	
73	ZP562s1	(1)	8	:	0.853	0.006	0.076	0.004	0.006	0.055	
74	ZP565s1	(1)	8	:	0.847	0.004	0.078	0.005	0.004	0.063	
48	PYR4b1s1	(1)	8	:	0.779	0.007	0.063	0.003	0.006	0.142	
47	HUN9s1	(1)	8	:	0.777	0.004	0.065	0.005	0.002	0.146	
40	ARN056As1	(5)	8	:	0.767	0.124	0.016	0.055	0.004	0.033	
79	ZP633s1	(1)	8	:	0.759	0.004	0.072	0.006	0.004	0.156	
15	NCYC361m	(1)	8	:	0.718	0.006	0.041	0.158	0.005	0.071	
2	322134Sm	(1)	8	:	0.686	0.006	0.043	0.179	0.006	0.081	
27	YIIc17_E5	(0)	8	:	0.642	0.002	0.002	0.287	0.002	0.065	
8	DBVPG1853m	(1)	8	:	0.543	0.006	0.003	0.063	0.004	0.382	
25	Y55m	(1)	8	:	0.480	0.053	0.005	0.006	0.453	0.003	
1	273614Nm	(0)	8	:	0.479	0.001	0.004	0.353	0.064	0.099	
17	S288cRef	(1)	8	:	0.418	0.006	0.014	0.368	0.013	0.181	
3	378604Xm	(3)	8	:	0.353	0.011	0.006	0.349	0.020	0.260	
52	SDO4s1	(2)	8	:	0.005	0.980	0.004	0.004	0.004	0.004	
49	SDO1s1	(1)	8	:	0.004	0.978	0.005	0.004	0.005	0.005	
60	SM17s1	(1)	8	:	0.004	0.978	0.005	0.004	0.004	0.004	
54	SDO7s1	(2)	8	:	0.005	0.977	0.004	0.005	0.004	0.004	
59	SM12s1	(2)	8	:	0.005	0.977	0.005	0.005	0.004	0.005	
53	SDO6s1	(2)	8	:	0.004	0.976	0.005	0.006	0.004	0.005	
62	SM69s1	(1)	8	:	0.004	0.976	0.005	0.006	0.005	0.004	
41	ARN179As1	(1)	8	:	0.004	0.975	0.006	0.005	0.005	0.005	
51	SDO3s1	(1)	8	:	0.005	0.975	0.005	0.006	0.005	0.004	
61	SM66s1	(1)	8	:	0.005	0.975	0.004	0.006	0.005	0.004	
42	ARN202Bs1	(2)	8	:	0.005	0.974	0.005	0.005	0.005	0.005	
44	ARN239As1	(2)	8	:	0.005	0.973	0.005	0.005	0.007	0.005	
50	SDO2s1	(1)	8	:	0.005	0.973	0.005	0.006	0.007	0.005	
56	SDO9s1	(1)	8	:	0.056	0.926	0.003	0.004	0.007	0.004	
55	SDO8s1	(2)	8	:	0.058	0.924	0.006	0.003	0.004	0.005	
67	YPS602	(1)	8	:	0.004	0.871	0.110	0.005	0.004	0.006	
